date,time,temperature,hive,heat up
2020/10/1,2020/10/1 08:47,30.6,B,0
2020/10/1,2020/10/1 08:52,30.6,B,0
2020/10/1,2020/10/1 08:57,31.1,B,0
2020/10/1,2020/10/1 09:02,31.1,B,0
2020/10/1,2020/10/1 09:07,31.1,B,0
2020/10/1,2020/10/1 09:12,31.1,B,0
2020/10/1,2020/10/1 09:17,31.1,B,0
2020/10/1,2020/10/1 09:22,31.1,B,0
2020/10/1,2020/10/1 09:27,31.1,B,0
2020/10/1,2020/10/1 09:32,31.1,B,0
2020/10/1,2020/10/1 09:37,31.1,B,0
2020/10/1,2020/10/1 09:42,31.1,B,0
2020/10/1,2020/10/1 09:47,31.1,B,0
2020/10/1,2020/10/1 09:52,31.1,B,0
2020/10/1,2020/10/1 09:57,31.1,B,0
2020/10/1,2020/10/1 10:02,31.1,B,0
2020/10/1,2020/10/1 10:07,31.1,B,0
2020/10/1,2020/10/1 10:12,31.1,B,0
2020/10/1,2020/10/1 10:17,31.1,B,0
2020/10/1,2020/10/1 10:22,31.1,B,0
2020/10/1,2020/10/1 10:27,30.6,B,0
2020/10/1,2020/10/1 10:32,30.6,B,0
2020/10/1,2020/10/1 10:37,30.6,B,0
2020/10/1,2020/10/1 10:42,30.6,B,0
2020/10/1,2020/10/1 10:47,30.6,B,0
2020/10/1,2020/10/1 10:52,30.6,B,0
2020/10/1,2020/10/1 10:57,30.6,B,0
2020/10/1,2020/10/1 11:02,30.6,B,0
2020/10/1,2020/10/1 11:07,31.1,B,0
2020/10/1,2020/10/1 11:12,31.1,B,0
2020/10/1,2020/10/1 11:17,31.1,B,0
2020/10/1,2020/10/1 11:22,31.1,B,0
2020/10/1,2020/10/1 11:27,31.1,B,0
2020/10/1,2020/10/1 11:32,31.1,B,0
2020/10/1,2020/10/1 11:37,31.1,B,0
2020/10/1,2020/10/1 11:42,31.6,B,0
2020/10/1,2020/10/1 11:47,31.6,B,0
2020/10/1,2020/10/1 11:52,31.6,B,0
2020/10/1,2020/10/1 11:57,31.6,B,0
2020/10/1,2020/10/1 12:02,31.6,B,0
2020/10/1,2020/10/1 12:07,31.6,B,0
2020/10/1,2020/10/1 12:12,31.6,B,0
2020/10/1,2020/10/1 12:17,31.6,B,0
2020/10/1,2020/10/1 12:22,31.6,B,0
2020/10/1,2020/10/1 12:27,31.6,B,0
2020/10/1,2020/10/1 12:32,31.6,B,0
2020/10/1,2020/10/1 12:37,31.6,B,0
2020/10/1,2020/10/1 12:42,31.6,B,0
2020/10/1,2020/10/1 12:47,31.6,B,0
2020/10/1,2020/10/1 12:52,32.1,B,0
2020/10/1,2020/10/1 12:57,32.1,B,0
2020/10/1,2020/10/1 13:02,32.1,B,0
2020/10/1,2020/10/1 13:07,32.1,B,0
2020/10/1,2020/10/1 13:12,32.1,B,0
2020/10/1,2020/10/1 13:17,32.1,B,0
2020/10/1,2020/10/1 13:22,32.1,B,0
2020/10/1,2020/10/1 13:27,32.1,B,0
2020/10/1,2020/10/1 13:32,32.6,B,0
2020/10/1,2020/10/1 13:37,32.6,B,0
2020/10/1,2020/10/1 13:42,32.6,B,0
2020/10/1,2020/10/1 13:47,32.6,B,0
2020/10/1,2020/10/1 13:52,32.6,B,0
2020/10/1,2020/10/1 13:57,32.6,B,0
2020/10/1,2020/10/1 14:02,32.6,B,0
2020/10/1,2020/10/1 14:07,32.6,B,0
2020/10/1,2020/10/1 14:12,32.6,B,0
2020/10/1,2020/10/1 14:17,32.6,B,0
2020/10/1,2020/10/1 14:22,32.6,B,0
2020/10/1,2020/10/1 14:27,32.6,B,0
2020/10/1,2020/10/1 14:32,33.1,B,0
2020/10/1,2020/10/1 14:37,32.6,B,0
2020/10/1,2020/10/1 14:42,32.6,B,0
2020/10/1,2020/10/1 14:47,32.6,B,0
2020/10/1,2020/10/1 14:52,32.6,B,0
2020/10/1,2020/10/1 14:57,32.6,B,0
2020/10/1,2020/10/1 15:02,32.6,B,0
2020/10/1,2020/10/1 15:07,32.6,B,0
2020/10/1,2020/10/1 15:12,32.6,B,0
2020/10/1,2020/10/1 15:17,32.6,B,0
2020/10/1,2020/10/1 15:22,32.6,B,0
2020/10/1,2020/10/1 15:27,32.6,B,0
2020/10/1,2020/10/1 15:32,32.6,B,0
2020/10/1,2020/10/1 15:37,32.6,B,0
2020/10/1,2020/10/1 15:42,32.6,B,0
2020/10/1,2020/10/1 15:47,33.1,B,0
2020/10/1,2020/10/1 15:52,33.1,B,0
2020/10/1,2020/10/1 15:57,33.1,B,0
2020/10/2,2020/10/2 06:04,29.1,B,1
2020/10/2,2020/10/2 06:09,29.1,B,1
